Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","068","Bolivie (État plurinational de)","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","471127","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","068","Bolivie (État plurinational de)","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","3005.78","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","068","Bolivie (État plurinational de)","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","204","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","068","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","174.64","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","068","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","12.9","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","070","Bosnie-Herzégovine","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","65932","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","070","Bosnie-Herzégovine","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","8521.79","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","070","Bosnie-Herzégovine","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","4396.84","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","070","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","65.44","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","070","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","6.6","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","072","Botswana","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","3695.78","E","Valeur estimée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","072","Botswana","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","3790.16","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","072","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","10.71","T","Chiffre non officiel"
